ticker,period_end,revenue,operating_cash_flow,capex_raw,cash,debt,capex_spend,free_cash_flow
GM,2025-12-31,45286000000,6795000000,-1119000000,20945000000,130277000000,1119000000.0,5676000000.0
GM,2025-09-30,48591000000,7103000000,-2130000000,22910000000,132503000000,2130000000.0,4973000000.0
GM,2025-06-30,47122000000,6908000000,-6516000000,22381000000,135731000000,6516000000.0,392000000.0
GM,2025-03-31,44020000000,6061000000,-6028000000,20570000000,132678000000,6028000000.0,33000000.0
GM,2024-12-31,47702000000,4140000000,-7269000000,19872000000,130693000000,7269000000.0,-3129000000.0
GM,2024-09-30,48756000000,6861000000,-5999000000,23744000000,127851000000,5999000000.0,862000000.0
GM,2024-06-30,47968000000,5976000000,-6622000000,22516000000,126436000000,6622000000.0,-646000000.0
GM,2024-03-31,43014000000,3152000000,-6219000000,17635000000,122237000000,6219000000.0,-3067000000.0
GM,2023-12-31,42979000000,3657000000,-3706000000,18853000000,122648000000,3706000000.0,-49000000.0
GM,2023-09-30,44131000000,6596000000,-5994000000,25224000000,118873000000,5994000000.0,602000000.0
GM,2023-06-30,44747000000,7591000000,-5932000000,23074000000,118043000000,5932000000.0,1659000000.0
GM,2023-03-31,39985000000,3086000000,-5585000000,18227000000,114421000000,5585000000.0,-2499000000.0
GM,2022-12-31,43108000000,5624000000,-6192000000,19153000000,115666000000,6192000000.0,-568000000.0
GM,2022-09-30,41888000000,5191000000,-4963000000,20745000000,112607000000,4963000000.0,228000000.0
GM,2022-06-30,35759000000,3124000000,-5381000000,16710000000,110387000000,5381000000.0,-2257000000.0
GM,2022-03-31,35979000000,2104000000,-4651000000,16349000000,109805000000,4651000000.0,-2547000000.0
GM,2021-12-31,33584000000,6809000000,-1103000000,20067000000,110391000000,1103000000.0,5706000000.0
GM,2021-09-30,26779000000,-49000000,-6118000000,17365000000,109928000000,6118000000.0,-6167000000.0
GM,2021-06-30,34167000000,7162000000,-7899000000,22920000000,111867000000,7899000000.0,-737000000.0
GM,2021-03-31,32474000000,1266000000,-6991000000,21609000000,112192000000,6991000000.0,-5725000000.0
GM,2020-12-31,37518000000,6693000000,-6737000000,19992000000,110863000000,6737000000.0,-44000000.0
GM,2020-09-30,35480000000,11231000000,-5406000000,26939000000,118517000000,5406000000.0,5825000000.0
GM,2020-06-30,16778000000,-2815000000,-3433000000,28228000000,128133000000,3433000000.0,-6248000000.0
GM,2020-03-31,32709000000,1561000000,-4957000000,38506000000,126500000000,4957000000.0,-3396000000.0
GM,2019-12-31,30826000000,3473000000,-6656000000,19069000000,104334000000,6656000000.0,-3183000000.0
GM,2019-09-30,35473000000,6553000000,-5675000000,20051000000,104466000000,5675000000.0,878000000.0
GM,2019-06-30,36060000000,5076000000,-5904000000,17072000000,106561000000,5904000000.0,-828000000.0
GM,2019-03-31,34878000000,-81000000,-5761000000,17176000000,107084000000,5761000000.0,-5842000000.0
GM,2018-12-31,38399000000,6030000000,-5884000000,20844000000,104951000000,5884000000.0,146000000.0
