ticker,risk_tag,neg_count_30d,shock_30d,neg_count_7d,shock_7d,worst_7d_title,worst_7d_source,worst_7d_url,worst_7d_impact
DASH,TOTAL,6,-16.0,0,0.0,None,None,None,0.0
DASH,REGULATORY,5,-13.0,0,0.0,None,None,None,0.0
DASH,INSURANCE,1,-3.0,0,0.0,None,None,None,0.0
GM,TOTAL,8,-23.0,0,0.0,None,None,None,0.0
GM,REGULATORY,5,-14.0,0,0.0,None,None,None,0.0
GM,INSURANCE,1,-3.0,0,0.0,None,None,None,0.0
GM,LABOR,1,-3.0,0,0.0,None,None,None,0.0
GM,SAFETY,1,-3.0,0,0.0,None,None,None,0.0
LYFT,TOTAL,2,-6.0,0,0.0,None,None,None,0.0
LYFT,REGULATORY,2,-6.0,0,0.0,None,None,None,0.0
