ticker,period_end,revenue,operating_cash_flow,capex_raw,cash,debt,capex_spend,free_cash_flow
LYFT,2025-12-31,1592711000,279461000,-18602000,1132009000,1276733000,18602000.0,260859000.0
LYFT,2025-09-30,1685195000,291251000,-13434000,1305908000,1273500000,13434000.0,277817000.0
LYFT,2025-06-30,1588183000,343728000,-14286000,913845000,769668000,14286000.0,329442000.0
LYFT,2025-03-31,1450172000,287234000,-6500000,985494000,1182803000,6500000.0,280734000.0
LYFT,2024-12-31,1550277000,153366000,-13415000,759319000,1172313000,13415000.0,139951000.0
LYFT,2024-09-30,1522692000,263992000,-21150000,770298000,1149930000,21150000.0,242842000.0
LYFT,2024-06-30,1435846000,276202000,-19798999,604357000,1163871000,19798999.0,256403001.0
LYFT,2024-03-31,1277201000,156177000,-29106000,507918000,1139561000,29106000.0,127071000.0
LYFT,2023-12-31,1224585000,43508000,-28569000,558636000,1041818000,28569000.0,14939000.0
LYFT,2023-09-30,1157550000,2261000,-32275000,590541000,1044482000,32275000.0,-30014000.0
LYFT,2023-06-30,1020906000,-69973000,-42176000,638434000,1028663000,42176000.0,-112149000.0
LYFT,2023-03-31,1000548000,-74040000,-46799000,509576000,1026767000,46799000.0,-120839000.0
LYFT,2022-12-31,1174992000,-33559000,-32569000,281090000,1061653000,32569000.0,-66128000.0
LYFT,2022-09-30,1053820000,-26195000,-29091000,143715000,1078435000,29091000.0,-55286000.0
LYFT,2022-06-30,990748000,-25188000,-23000000,239299000,1098655000,23000000.0,-48188000.0
LYFT,2022-03-31,875575000,-152343000,-30310000,214868000,1095053000,30310000.0,-182653000.0
LYFT,2021-12-31,969933000,-26219000,-22500000,457325000,975434000,22500000.0,-48719000.0
LYFT,2021-09-30,864405000,41530000,-36162000,728382000,989818000,36162000.0,5368000.0
LYFT,2021-06-30,765025000,-37568000,-9829000,484181000,992537000,9829000.0,-47397000.0
LYFT,2021-03-31,608960000,-79464000,-10685000,312230000,995433000,10685000.0,-90149000.0
LYFT,2020-12-31,569880000,-264613000,-22795000,319734000,995090000,22795000.0,-287408000.0
LYFT,2020-09-30,499744000,-155638000,-14609000,424806000,986950000,14609000.0,-170247000.0
LYFT,2020-06-30,339345000,-751722000,-21759000,841061000,1004261000,21759000.0,-773481000.0
LYFT,2020-03-31,955712000,-206926000,-34476000,597889000,478096000,34476000.0,-241402000.0
LYFT,2019-12-31,1017070000,-46191000,-49657000,358319000,476276000,49657000.0,-95848000.0
LYFT,2019-09-30,955598000,10000000,-60146000,543871000,448035000,60146000.0,-50146000.0
LYFT,2019-06-30,867265000,15316000,-43159000,417393000,387622000,43159000.0,-27843000.0
LYFT,2019-03-31,776027000,-84827000,-25126000,329515000,337431000,25126000.0,-109953000.0
LYFT,2018-12-31,669565000,-133093000,-40238000,517690000,0,40238000.0,-173331000.0
LYFT,2018-03-31,397188000,-79623000,-3088000,-2390744000,0,3088000.0,-82711000.0
