date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,accountsReceivables,otherReceivables,inventory,prepaids,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,totalPayables,accountPayables,otherPayables,accruedExpenses,shortTermDebt,capitalLeaseObligationsCurrent,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,capitalLeaseObligationsNonCurrent,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,treasuryStock,preferredStock,commonStock,retainedEarnings,additionalPaidInCapital,accumulatedOtherComprehensiveIncomeLoss,otherTotalStockholdersEquity,totalStockholdersEquity,totalEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2025-12-31,UBER,USD,0001543151,2026-02-13,2026-02-13 16:08:17,2025,FY,7736000000,528000000,8264000000,3827000000,3827000000,0,0,0,1902000000,13993000000,3011000000,8931000000,1048000000,9979000000,9178000000,10951000000,14690000000,47809000000,0,61802000000,1013000000,1013000000,0,0,169000000,0,0,0,11138000000,12320000000,11911000000,1390000000,0,0,8098000000,21399000000,0,1390000000,33719000000,0,0,0,-10628000000,38101000000,-432000000,0,27041000000,28083000000,1042000000,61802000000,9706000000,13470000000,5734000000
2024-12-31,UBER,USD,0001543151,2025-02-14,2025-02-14 16:06:34,2024,FY,6438000000,1084000000,7522000000,3815000000,3333000000,482000000,0,415000000,493000000,12245000000,3110000000,8066000000,1125000000,9191000000,18241000000,6171000000,2286000000,38999000000,0,51244000000,1609000000,858000000,751000000,649000000,1461000000,0,0,0,7757000000,11476000000,8347000000,1628000000,0,9000000,7308000000,17292000000,0,1628000000,28768000000,0,0,0,-20726000000,42801000000,-517000000,0,21558000000,22476000000,918000000,51244000000,19325000000,11436000000,4998000000
2023-12-31,UBER,USD,0001543151,2024-02-15,2024-02-15 16:30:29,2023,FY,5485000000,727000000,6212000000,4121000000,3404000000,717000000,0,400000000,564000000,11297000000,3314000000,8151000000,1425000000,9576000000,13005000000,0,1507000000,27402000000,0,38699000000,1474000000,790000000,684000000,710000000,499000000,0,684000000,0,6771000000,9454000000,9459000000,1872000000,0,56000000,5176000000,16563000000,0,1872000000,26017000000,0,0,0,-30594000000,42264000000,-421000000,0,11249000000,12682000000,1433000000,38699000000,13732000000,11830000000,6345000000
2022-12-31,UBER,USD,0001543151,2023-02-21,2023-02-21 16:10:08,2022,FY,4888000000,103000000,4991000000,3489000000,2779000000,710000000,0,310000000,459000000,9249000000,3531000000,8263000000,1874000000,10137000000,8889000000,0,303000000,22860000000,0,32109000000,1204000000,728000000,476000000,587000000,495000000,0,2049000000,0,6567000000,8853000000,9265000000,1957000000,0,27000000,3503000000,14752000000,0,1957000000,23605000000,0,0,0,-32767000000,40550000000,-443000000,0,7340000000,8504000000,1164000000,32109000000,8992000000,11717000000,6829000000
2021-12-31,UBER,USD,0001543151,2022-02-24,2022-02-24 16:33:34,2021,FY,4926000000,0,4926000000,2992000000,2439000000,553000000,0,459000000,442000000,8819000000,3241000000,8420000000,2412000000,10832000000,15485000000,0,397000000,29955000000,0,38774000000,1236000000,860000000,376000000,0,641000000,0,2563000000,0,7147000000,9024000000,9276000000,1687000000,0,365000000,3073000000,14401000000,0,1687000000,23425000000,0,0,0,-23626000000,38608000000,-524000000,0,14458000000,15349000000,891000000,38774000000,15485000000,11604000000,6678000000
2020-12-31,UBER,USD,0001543151,2021-03-01,2021-03-01 08:06:48,2020,FY,5897000000,1180000000,7077000000,1537000000,1073000000,464000000,0,407000000,861000000,9882000000,3088000000,6109000000,1564000000,7673000000,11625000000,0,984000000,23370000000,0,33252000000,438000000,235000000,203000000,325000000,1030000000,0,2014000000,0,5072000000,6865000000,7680000000,1664000000,0,818000000,2471000000,12633000000,0,1664000000,19498000000,0,0,0,-23130000000,35931000000,-535000000,0,12266000000,13754000000,1488000000,33252000000,12805000000,10374000000,4477000000
2019-12-31,UBER,USD,0001543151,2020-03-02,2020-03-02 16:12:35,2019,FY,10972000000,440000000,11412000000,1642000000,1214000000,428000000,0,571000000,300000000,13925000000,3325000000,167000000,71000000,238000000,12986000000,0,1287000000,17836000000,0,31761000000,466000000,272000000,194000000,403000000,388000000,0,1733000000,76000000,4306000000,5639000000,5707000000,1666000000,0,1027000000,2539000000,10939000000,0,1666000000,16578000000,0,0,0,-16362000000,30739000000,-187000000,0,14190000000,15183000000,993000000,31761000000,13426000000,7761000000,-3211000000
2018-12-31,UBER,USD,0001543151,2018-12-31,2018-12-30 19:00:00,2018,FY,6473000000,0,6473000000,1335000000,919000000,416000000,0,265000000,585000000,8658000000,1641000000,153000000,82000000,235000000,13403000000,0,51000000,15330000000,0,23988000000,307000000,150000000,157000000,261000000,198000000,0,157000000,65000000,3428000000,4259000000,8887000000,436000000,0,1072000000,2542000000,12937000000,0,436000000,17196000000,0,14177000000,0,-7865000000,668000000,-188000000,0,6792000000,6792000000,0,23988000000,13403000000,9521000000,3048000000
2017-12-31,UBER,USD,0001543151,2017-12-31,2017-12-31 00:00:00,2017,FY,4535000000,0,4535000000,926000000,739000000,187000000,0,217000000,1159000000,6837000000,1192000000,39000000,54000000,93000000,7262000000,0,42000000,8589000000,0,15426000000,457000000,213000000,244000000,199000000,237000000,0,1274000000,38000000,2916000000,3847000000,4565000000,290000000,0,1041000000,2030000000,7926000000,0,290000000,11773000000,0,12210000000,0,-8874000000,320000000,-3000000,0,3653000000,3653000000,0,15426000000,7262000000,5092000000,557000000
2016-12-31,UBER,USD,0001543151,2016-12-31,2016-12-31 00:00:00,2016,FY,6241000000,55000000,6296000000,387000000,387000000,0,0,158000000,173000000,7014000000,2077000000,39000000,51000000,90000000,5969000000,0,563000000,8699000000,0,15713000000,280000000,280000000,0,1227000000,15000000,0,0,0,903000000,2425000000,3112000000,0,0,0,3450000000,6562000000,0,0,8987000000,0,11322000000,0,-4806000000,209000000,1000000,0,6726000000,6726000000,0,15713000000,6024000000,3127000000,-3114000000
