date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivities,netCashProvidedByInvestingActivities,netDebtIssuance,longTermNetDebtIssuance,shortTermNetDebtIssuance,netStockIssuance,netCommonStockIssuance,commonStockIssuance,commonStockRepurchased,netPreferredStockIssuance,netDividendsPaid,commonDividendsPaid,preferredDividendsPaid,otherFinancingActivities,netCashProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,incomeTaxesPaid,interestPaid
2025-12-31,UBER,USD,0001543151,2026-02-13,2026-02-13 16:08:17,2025,FY,10093000000,747000000,-4779000000,1826000000,2227000000,-466000000,0,126000000,2567000000,-15000000,10099000000,-336000000,-120000000,-22123000000,20046000000,-1140000000,-3673000000,852000000,852000000,0,-6340000000,-6340000000,183000000,-6523000000,0,0,0,0,-116000000,-5604000000,476000000,1298000000,7736000000,6438000000,10099000000,-336000000,9763000000,274000000,373000000
2024-12-31,UBER,USD,0001543151,2025-02-14,2025-02-14 16:06:34,2024,FY,9845000000,737000000,-6027000000,1796000000,2374000000,-142000000,0,86000000,2430000000,-1588000000,7137000000,-242000000,-851000000,-13054000000,10221000000,-102000000,-4028000000,-186000000,-186000000,0,-1096000000,-1096000000,156000000,-1252000000,0,0,0,0,46000000,-1236000000,-920000000,953000000,6438000000,5485000000,7137000000,-242000000,6895000000,324000000,475000000
2023-12-31,UBER,USD,0001543151,2024-02-15,2024-02-15 16:30:29,2023,FY,1887000000,823000000,26000000,1935000000,165000000,-758000000,0,64000000,859000000,-1251000000,3585000000,-223000000,721000000,-8826000000,5864000000,-762000000,-3226000000,-47000000,-47000000,0,130000000,130000000,130000000,0,0,0,0,0,-178000000,-95000000,63000000,327000000,7004000000,6677000000,3585000000,-223000000,3362000000,234000000,629000000
2022-12-31,UBER,USD,0001543151,2023-02-21,2023-02-21 16:10:08,2022,FY,-9138000000,947000000,-441000000,1793000000,335000000,-542000000,0,-133000000,1010000000,7146000000,642000000,-252000000,-33000000,-1722000000,376000000,-6000000,-1637000000,-264000000,-264000000,0,255000000,255000000,255000000,0,0,0,0,0,24000000,15000000,-148000000,-1128000000,6677000000,7805000000,642000000,-252000000,390000000,175000000,513000000
2021-12-31,UBER,USD,0001543151,2022-02-24,2022-02-24 16:33:34,2021,FY,-570000000,902000000,-692000000,1168000000,1682000000,-597000000,0,90000000,2189000000,-2935000000,-445000000,-298000000,-1314000000,-2095000000,2791000000,-285000000,-1201000000,924000000,924000000,0,1350000000,675000000,675000000,0,675000000,0,0,0,-494000000,1780000000,-1105000000,-971000000,4926000000,5897000000,-445000000,-298000000,-743000000,87000000,449000000
2020-12-31,UBER,USD,0001543151,2021-03-01,2021-03-01 08:06:48,2020,FY,-6788000000,575000000,-266000000,827000000,732000000,142000000,387000000,-133000000,336000000,2175000000,-2745000000,-616000000,-1380000000,-2111000000,1360000000,-122000000,-2869000000,1877000000,1877000000,0,372000000,372000000,372000000,0,0,0,0,0,-870000000,1379000000,-840000000,-5075000000,5897000000,10972000000,-2745000000,-616000000,-3361000000,82000000,412000000
2019-12-31,UBER,USD,0001543151,2020-03-02,2020-03-02 16:12:35,2019,FY,-8512000000,472000000,-88000000,4596000000,-500000000,-407000000,530000000,95000000,-718000000,-289000000,-4321000000,-588000000,286000000,-541000000,2000000,51000000,-790000000,1024000000,1024000000,0,9473000000,8473000000,8473000000,0,1000000000,0,0,0,-1558000000,8939000000,671000000,4499000000,10972000000,6473000000,-4321000000,-588000000,-4909000000,133000000,332000000
2018-12-31,UBER,USD,0001543151,2018-12-31,2018-12-30 19:00:00,2018,FY,987000000,426000000,35000000,170000000,890000000,-279000000,265000000,-39000000,943000000,-4049000000,-1541000000,-558000000,-476000000,-30000000,0,369000000,-695000000,2867000000,2867000000,0,1750000000,0,1777000000,-10000000,1750000000,0,0,0,23000000,4640000000,-119000000,2381000000,8209000000,5828000000,-1541000000,-558000000,-2099000000,289000000,124000000
2017-12-31,UBER,USD,0001543151,2017-12-31,2017-12-31 00:00:00,2017,FY,-4033000000,510000000,-762000000,124000000,1910000000,-442000000,1147000000,-79000000,1284000000,833000000,-1418000000,-829000000,342000000,0,0,0,-487000000,114000000,114000000,0,877000000,-131000000,0,-131000000,1008000000,0,0,0,24000000,1015000000,22000000,-998000000,5828000000,6826000000,-1418000000,-829000000,-2247000000,153000000,61000000
2016-12-31,UBER,USD,0001543151,2016-12-31,2016-12-31 00:00:00,2016,FY,-370000000,347000000,5000000,107000000,1072000000,-348000000,671000000,228000000,521000000,-4074000000,-2913000000,-1635000000,-240000000,0,0,17000000,-1858000000,1429000000,1083000000,346000000,4756000000,-90000000,0,-90000000,4846000000,0,0,0,9000000,6194000000,-25000000,1398000000,6826000000,5428000000,-2913000000,-1635000000,-4548000000,20000000,32000000
