date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivities,netCashProvidedByInvestingActivities,netDebtIssuance,longTermNetDebtIssuance,shortTermNetDebtIssuance,netStockIssuance,netCommonStockIssuance,commonStockIssuance,commonStockRepurchased,netPreferredStockIssuance,netDividendsPaid,commonDividendsPaid,preferredDividendsPaid,otherFinancingActivities,netCashProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,incomeTaxesPaid,interestPaid
2025-12-31,UBER,USD,0001543151,2026-02-13,2026-02-13 16:08:17,2025,Q4,317000000,193000000,-287000000,451000000,652000000,-109000000,0,-106000000,867000000,1557000000,2883000000,-75000000,-120000000,-7892000000,6499000000,-135000000,-1723000000,-1195000000,-1195000000,0,-1912000000,-1912000000,0,-1912000000,0,0,0,0,98000000,-3009000000,676000000,-1173000000,7736000000,8909000000,2883000000,-75000000,2808000000,0,0
2025-09-30,UBER,USD,0001543151,2025-11-04,2025-11-04 16:04:41,2025,Q3,6652000000,195000000,-4167000000,465000000,648000000,-22000000,0,101000000,569000000,-1465000000,2328000000,-98000000,0,-6405000000,6514000000,42000000,53000000,995000000,995000000,0,-1463000000,-1463000000,0,-1463000000,0,0,0,0,-70000000,-538000000,-27000000,1816000000,11483000000,9667000000,2328000000,-98000000,2230000000,107000000,186000000
2025-06-30,UBER,USD,0001543151,2025-08-06,2025-08-06 16:07:50,2025,Q2,1350000000,181000000,87000000,475000000,449000000,-212000000,0,125000000,536000000,22000000,2564000000,-89000000,0,-5107000000,4636000000,-901000000,-1461000000,1099000000,1099000000,0,-1363000000,-1363000000,0,-1363000000,0,0,0,0,69000000,-195000000,159000000,1067000000,9667000000,8600000000,2564000000,-89000000,2475000000,112000000,13000000
2025-03-31,UBER,USD,0001543151,2025-05-07,2025-05-07 16:07:17,2025,Q1,1774000000,178000000,-412000000,435000000,478000000,-123000000,0,6000000,595000000,-129000000,2324000000,-74000000,0,-2719000000,2397000000,-146000000,-542000000,-47000000,-47000000,0,-1785000000,-1785000000,0,-1785000000,0,0,0,0,-30000000,-1862000000,70000000,-10000000,8600000000,8610000000,2324000000,-74000000,2250000000,55000000,174000000
2024-12-31,UBER,USD,0001543151,2025-02-14,2025-02-14 16:06:34,2024,Q4,6901000000,176000000,-6128000000,419000000,773000000,246000000,0,62000000,465000000,-391000000,1750000000,-44000000,0,-3021000000,4437000000,61000000,1433000000,-2050000000,-2050000000,0,-502000000,-502000000,53000000,-555000000,0,0,0,0,-845000000,-3397000000,-179000000,-393000000,8610000000,9003000000,1750000000,-44000000,1706000000,82000000,76000000
2024-09-30,UBER,USD,0001543151,2024-10-31,2024-10-31 16:06:41,2024,Q3,2599000000,186000000,124000000,438000000,511000000,196000000,0,48000000,267000000,-1707000000,2151000000,-42000000,0,-4484000000,1916000000,-82000000,-2692000000,1954000000,1954000000,0,-372000000,-372000000,0,-372000000,0,0,0,0,19000000,1601000000,62000000,1122000000,9003000000,7881000000,2151000000,-42000000,2109000000,85000000,139000000
2024-06-30,UBER,USD,0001543151,2024-08-06,2024-08-06 16:09:28,2024,Q2,1015000000,181000000,-7000000,455000000,515000000,-162000000,0,-70000000,747000000,-339000000,1820000000,-99000000,8000000,-3346000000,1829000000,-68000000,-1676000000,-42000000,-42000000,0,-222000000,-222000000,103000000,-325000000,0,0,0,0,73000000,-191000000,-56000000,-103000000,7881000000,7984000000,1820000000,-99000000,1721000000,86000000,118000000
2024-03-31,UBER,USD,0001543151,2024-05-08,2024-05-08 16:04:16,2024,Q1,-654000000,194000000,-16000000,484000000,575000000,-422000000,0,46000000,951000000,833000000,1416000000,-57000000,9000000,-2203000000,2039000000,-30000000,-242000000,-48000000,-48000000,0,0,0,0,0,0,0,0,0,-52000000,-100000000,-94000000,980000000,7984000000,7004000000,1416000000,-57000000,1359000000,71000000,142000000
2023-12-31,UBER,USD,0001543151,2024-02-15,2024-02-15 16:30:29,2023,Q4,1429000000,203000000,-6000000,469000000,-331000000,-395000000,0,-22000000,86000000,-941000000,823000000,-55000000,-721000000,-2854000000,2076000000,735000000,-819000000,125000000,125000000,0,45000000,45000000,-85000000,130000000,0,0,0,0,-124000000,46000000,89000000,139000000,7004000000,6865000000,823000000,-55000000,768000000,0,0
2023-09-30,UBER,USD,0001543151,2023-11-07,2023-11-07 16:08:11,2023,Q3,219000000,205000000,16000000,492000000,-113000000,-518000000,-208000000,112000000,501000000,147000000,966000000,-61000000,18000000,-3745000000,1366000000,6000000,-2416000000,-67000000,-67000000,0,0,0,0,0,0,0,0,0,-9000000,-76000000,-69000000,-1595000000,6865000000,8460000000,966000000,-61000000,905000000,100000000,157000000
2023-06-30,UBER,USD,0001543151,2023-08-02,2023-08-02 16:07:32,2023,Q2,394000000,208000000,6000000,504000000,351000000,-13000000,-205000000,-19000000,588000000,-273000000,1190000000,-50000000,703000000,-1361000000,1127000000,-11000000,408000000,-49000000,-49000000,0,85000000,85000000,85000000,0,0,0,0,0,6000000,42000000,27000000,1667000000,8460000000,6793000000,1190000000,-50000000,1140000000,48000000,155000000
2023-03-31,UBER,USD,0001543151,2023-05-03,2023-05-03 16:06:08,2023,Q1,-157000000,207000000,10000000,470000000,258000000,168000000,0,-7000000,97000000,-182000000,606000000,-57000000,0,-846000000,500000000,4000000,-399000000,-56000000,-56000000,0,0,0,0,0,0,0,0,0,-51000000,-107000000,16000000,116000000,6793000000,6677000000,606000000,-57000000,549000000,22000000,157000000
2022-12-31,UBER,USD,0001543151,2023-02-21,2023-02-21 16:10:08,2022,Q4,600000000,223000000,-190000000,482000000,-664000000,-323000000,0,-53000000,-288000000,-695000000,-244000000,-59000000,-26000000,-1708000000,984000000,-960000000,-1769000000,-117000000,-117000000,0,33000000,33000000,33000000,0,0,0,0,0,-5000000,-89000000,145000000,-1957000000,6677000000,8634000000,-244000000,-59000000,-303000000,26000000,123000000
