ticker,period_end,revenue,operating_cash_flow,capex_raw,cash,debt,capex_spend,free_cash_flow
UBER,2025-12-31,14366000000,2883000000,-75000000,7736000000,13470000000,75000000.0,2808000000.0
UBER,2025-09-30,13467000000,2328000000,-98000000,8909000000,13340000000,98000000.0,2230000000.0
UBER,2025-06-30,12651000000,2564000000,-89000000,7629000000,12342000000,89000000.0,2475000000.0
UBER,2025-03-31,11533000000,2324000000,-74000000,6385000000,11124000000,74000000.0,2250000000.0
UBER,2024-12-31,11959000000,1750000000,-44000000,6438000000,11436000000,44000000.0,1706000000.0
UBER,2024-09-30,11188000000,2151000000,-42000000,7083000000,13288000000,42000000.0,2109000000.0
UBER,2024-06-30,10700000000,1820000000,-99000000,5273000000,11297000000,99000000.0,1721000000.0
UBER,2024-03-31,10131000000,1416000000,-57000000,5827000000,11314000000,57000000.0,1359000000.0
UBER,2023-12-31,9936000000,823000000,-55000000,5485000000,11830000000,55000000.0,768000000.0
UBER,2023-09-30,9292000000,966000000,-61000000,5281000000,11144000000,61000000.0,905000000.0
UBER,2023-06-30,9230000000,1190000000,-50000000,5904000000,11184000000,50000000.0,1140000000.0
UBER,2023-03-31,8823000000,606000000,-57000000,4942000000,11256000000,57000000.0,549000000.0
UBER,2022-12-31,8607000000,-244000000,-59000000,4888000000,11717000000,59000000.0,-303000000.0
UBER,2022-09-30,8343000000,432000000,-74000000,5458000000,11265000000,74000000.0,358000000.0
UBER,2022-06-30,8073000000,439000000,-57000000,4923000000,11459000000,57000000.0,382000000.0
UBER,2022-03-31,6854000000,15000000,-62000000,4727000000,11424000000,62000000.0,-47000000.0
UBER,2021-12-31,5778000000,-107000000,-80000000,4926000000,11604000000,80000000.0,-187000000.0
UBER,2021-09-30,4845000000,614000000,-90000000,6896000000,11205000000,90000000.0,524000000.0
UBER,2021-06-30,3929000000,-341000000,-57000000,4767000000,9755000000,57000000.0,-398000000.0
UBER,2021-03-31,2903000000,-611000000,-71000000,5083000000,9764000000,71000000.0,-682000000.0
UBER,2020-12-31,3165000000,-805000000,-123000000,5897000000,10374000000,123000000.0,-928000000.0
UBER,2020-09-30,2813000000,-406000000,-131000000,6372000000,9922000000,131000000.0,-537000000.0
UBER,2020-06-30,1913000000,-1071000000,-164000000,6877000000,9415000000,164000000.0,-1235000000.0
UBER,2020-03-31,3248000000,-463000000,-198000000,8358000000,9324000000,198000000.0,-661000000.0
UBER,2019-12-31,4069000000,-1799000000,-182000000,10972000000,7761000000,182000000.0,-1981000000.0
UBER,2019-09-30,3813000000,-878000000,-129000000,12683000000,7576000000,129000000.0,-1007000000.0
UBER,2019-06-30,3166000000,-922000000,-148000000,11881000000,6193000000,148000000.0,-1070000000.0
UBER,2019-03-31,3099000000,-722000000,-129000000,5881000000,10388000000,129000000.0,-851000000.0
UBER,2018-12-31,2974000000,-681000000,-196000000,6473000000,9521000000,196000000.0,-877000000.0
