date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2025-12-31,UBER,USD,0001543151,2026-02-13,2026-02-13 16:08:17,2025,FY,52017000000,31338000000,20679000000,3402000000,3241000000,4898000000,8139000000,3573000000,15114000000,46452000000,303000000,743000000,440000000,739000000,6959000000,6240000000,-675000000,5565000000,196000000,5761000000,-4332000000,10093000000,0,0,10053000000,40000000,10026000000,4.82,4.71,2073483000,2106011000
2024-12-31,UBER,USD,0001543151,2025-02-14,2025-02-14 16:06:34,2024,FY,43978000000,26651000000,17327000000,3109000000,3639000000,4337000000,7976000000,3443000000,14528000000,41179000000,198000000,721000000,523000000,737000000,5385000000,4648000000,-1849000000,2799000000,1288000000,4087000000,-5758000000,9845000000,0,0,9856000000,49000000,9807000000,4.71,4.56,2094602000,2150508000
2023-12-31,UBER,USD,0001543151,2024-02-15,2024-02-15 16:30:29,2023,FY,37281000000,22457000000,14824000000,3164000000,2682000000,4356000000,7038000000,3512000000,13714000000,36171000000,-149000000,484000000,633000000,823000000,3777000000,2954000000,-1844000000,1110000000,1259000000,2369000000,213000000,2156000000,0,0,1887000000,60000000,1827000000,0.9,0.87,2035651000,2091782000
2022-12-31,UBER,USD,0001543151,2023-02-21,2023-02-21 16:10:08,2022,FY,31877000000,19659000000,12218000000,2798000000,3136000000,4756000000,7892000000,3360000000,14050000000,33709000000,-426000000,139000000,565000000,947000000,-7914000000,-8861000000,7029000000,-1832000000,-7487000000,-9319000000,-181000000,-9138000000,0,0,-9141000000,41000000,-9182000000,-4.64,-4.65,1972131000,1974928000
2021-12-31,UBER,USD,0001543151,2022-02-24,2022-02-24 16:33:34,2021,FY,17455000000,9351000000,8104000000,2054000000,2316000000,4789000000,7105000000,2779000000,11938000000,21289000000,-446000000,37000000,483000000,902000000,360000000,-542000000,-3292000000,-3834000000,2772000000,-1062000000,-492000000,-570000000,0,0,-496000000,0,-496000000,-0.26,-0.26,1892546000,1892546000
2020-12-31,UBER,USD,0001543151,2021-03-01,2021-03-01 08:06:48,2020,FY,11139000000,5154000000,5985000000,2205000000,2666000000,3583000000,6249000000,2394000000,10848000000,16002000000,-403000000,55000000,458000000,575000000,-5913000000,-6488000000,1625000000,-4863000000,-2117000000,-6980000000,-192000000,-6788000000,0,0,-6754000000,0,-6768000000,-3.85,-3.85,1752960000,1752960000
2019-12-31,UBER,USD,0001543151,2020-03-02,2020-03-02 16:12:35,2019,FY,13000000000,6061000000,6939000000,4836000000,3299000000,4626000000,7925000000,2774000000,15535000000,21596000000,-325000000,234000000,559000000,472000000,-7402000000,-7874000000,-722000000,-8596000000,129000000,-8467000000,45000000,-8512000000,0,0,-8478000000,0,-8506000000,-6.79,-6.79,1248353000,1248353000
2018-12-31,UBER,USD,0001543151,2018-12-31,2018-12-30 19:00:00,2018,FY,10433000000,4786000000,5647000000,1505000000,2082000000,3151000000,5233000000,1942000000,8680000000,13466000000,-544000000,104000000,648000000,426000000,2386000000,1960000000,-4993000000,-3033000000,4303000000,1270000000,283000000,987000000,0,0,997000000,0,997000000,0.59,0.59,1676959021,1676959021
2017-12-31,UBER,USD,0001543151,2017-12-31,2017-12-31 00:00:00,2017,FY,7932000000,5514000000,2418000000,1215000000,2040000000,2524000000,4564000000,719000000,6498000000,12012000000,-408000000,71000000,479000000,510000000,-3586000000,-4096000000,16000000,-4080000000,-495000000,-4575000000,-542000000,-4033000000,0,0,-4033000000,0,-4033000000,-2.38,-2.38,1691367483,1691367483
2016-12-31,UBER,USD,0001543151,2016-12-31,2016-12-31 00:00:00,2016,FY,3845000000,2228000000,1617000000,864000000,981000000,1594000000,2575000000,1201000000,4640000000,6868000000,-312000000,22000000,334000000,320000000,-2564000000,-2884000000,-139000000,-3023000000,-195000000,-3218000000,28000000,-3246000000,2876000000,2876000000,-370000000,0,-370000000,-0.25,-0.24,1458714000,1525531000
